Type,Tag (user),Tag (area),Tag (sub-area),Section,Title,Preconditions (Given),Steps (When),Expected Result (Then),Automation,Priority,Estimate,Created By
Functional,@user-anon ,@page-landing,@page-landing-001,User - Anonymous - Page - Landing,Header - Icon - redirect,Anonymous User on Page - Landing,Click icon,Url should include https://news.ycombinator.com/,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-002,User - Anonymous - Page - Landing,Header - Name - redirect,Anonymous User on Page - Landing,"Click ""Hacker News""",Url should include https://news.ycombinator.com/,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-003,User - Anonymous - Page - Landing,Header - New - redirect,Anonymous User on Page - Landing,"Click ""New""",Url should include https://news.ycombinator.com/newest,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-004,User - Anonymous - Page - Landing,Header - Past - redirect,Anonymous User on Page - Landing,"Click ""Past""",Url should include https://news.ycombinator.com/front,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-005,User - Anonymous - Page - Landing,Header - Comments - redirect,Anonymous User on Page - Landing,"Click ""Comments""",Url should include https://news.ycombinator.com/newcomments,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-006,User - Anonymous - Page - Landing,Header - Ask - redirect,Anonymous User on Page - Landing,"Click ""Ask""",Url should include https://news.ycombinator.com/ask,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-007,User - Anonymous - Page - Landing,Header - Show - redirect,Anonymous User on Page - Landing,"Click ""Show""",Url should include https://news.ycombinator.com/show,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-008,User - Anonymous - Page - Landing,Header - Jobs - redirect,Anonymous User on Page - Landing,"Click ""Jobs""",Url should include https://news.ycombinator.com/jobs,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-009,User - Anonymous - Page - Landing,Header - Submit - redirect,Anonymous User on Page - Landing,"Click ""Submit""",Url should include https://news.ycombinator.com/submit,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-010,User - Anonymous - Page - Landing,Header - Login - redirect,Anonymous User on Page - Landing,"Click ""Login""",Url should include https://news.ycombinator.com/login?goto=news,UI - Cypress,Critical,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-101,User - Anonymous - Page - Landing,Table - Result - Title Line - index,Anonymous User on Page - Landing,See index number,Default index should display in asc order,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-102,User - Anonymous - Page - Landing,Table - Result - Title Line - vote arrow - redirect,Anonymous User on Page - Landing,Click vote arrow icon,Url should include https://news.ycombinator.com/vote?id=<item-id>&how=up&goto=news,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-103,User - Anonymous - Page - Landing,Table - Result - Title Line - title - redirect,Anonymous User on Page - Landing,Click title,Url should include item source url,UI - Cypress,Critical,60s,Alex Peace
