Type,Tag (user),Tag (area),Tag (sub-area),Section,Title,Preconditions (Given),Steps (When),Expected Result (Then),Automation,Priority,Estimate (Manual),Created By
Functional,@user-anon ,@page-login,@page-login-001,User - Anonymous - Page - Login,Login - Username - input - is only input - invalid,Anonymous User on Page - Login,Input only username (vaild) and click login button,"Display error: ""Bad login.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-002,User - Anonymous - Page - Login,Login - Username - input - empty - invalid,Anonymous User on Page - Login,Input only password (vaild) and click login button,"Display error: ""Bad login.""",UI - Cypress,Medium,60s,Alex Peace
[tech-debt],@user-anon ,@page-login,@page-login-003,User - Anonymous - Page - Login,Login - Username - input - empty - Recaptcha,Anonymous User on Page - Login,Input only password (vaild) and click login button,Recaptch Displays,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-004,User - Anonymous - Page - Login,Login - Username - input - cleared - invalid,Anonymous User on Page - Login,"Input password (vaild), input username (valid), clear username field and click login","Display error: ""Bad login.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-005,User - Anonymous - Page - Login,Login - Password - input - cleared - invalid,Anonymous User on Page - Login,"Input username (vaild), input password (valid), clear password field and click login","Display error: ""Bad login.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-006,User - Anonymous - Page - Login,Login - Button - inputs are empty,Anonymous User on Page - Login,Click login button,"Display error: ""Bad login.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-007,User - Anonymous - Page - Login,Login - Button - inputs are invalid,Anonymous User on Page - Login,"Input username (invaild), input password (invalid) and click login button","Display error: ""Bad login.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-008,User - Anonymous - Page - Login,Login - Button - valid,Anonymous User on Page - Login,"Input username (vaild), input password (valid), and click login button","Redirect to ""https://news.ycombinator.com/"" with valid token",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-009,User - Anonymous - Page - Login,Login - Forgot Password,Anonymous User on Page - Login,Click forgot password link,"Redirect to ""https://news.ycombinator.com/forgot""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-100,User - Anonymous - Page - Login,Create Account - Username - input - is only input - invalid,Anonymous User on Page - Login,Input only username (vaild) and click login button,"Display error: ""Passwords should be between 8 and 72 characters long. Please choose another.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-101,User - Anonymous - Page - Login,Create Account - Username - input - empty - invalid,Anonymous User on Page - Login,Input only password (vaild) and click login button,"Display error: ""Usernames can only contain letters, digits, dashes and underscores, and should be between 2 and 15 characters long. Please choose another.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-102,User - Anonymous - Page - Login,Create Account - Username - input - cleared - invalid,Anonymous User on Page - Login,"Input password (vaild), input username (valid), clear username field and click login","Display error: ""Usernames can only contain letters, digits, dashes and underscores, and should be between 2 and 15 characters long. Please choose another.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-103,User - Anonymous - Page - Login,Create Account - Username - input - min length - invalid,Anonymous User on Page - Login,"Input password (vaild), input username min length (invalid), and click login","Display error: ""Usernames can only contain letters, digits, dashes and underscores, and should be between 2 and 15 characters long. Please choose another.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-104,User - Anonymous - Page - Login,Create Account - Username - input - max length - invalid,Anonymous User on Page - Login,"Input password (vaild), input username max length (invalid), and click login","Display error: ""Usernames can only contain letters, digits, dashes and underscores, and should be between 2 and 15 characters long. Please choose another.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-105,User - Anonymous - Page - Login,Create Account - Username - input - already exists - invalid,Anonymous User on Page - Login,"Input password (vaild), input username exists (invalid), and click login","Display error: ""That username is taken. Please choose another.""",UI - Cypress,Medium,60s,Alex Peace
[tech-debt],@user-anon ,@page-login,@page-login-107,User - Anonymous - Page - Login,Create Account - Password - input - cleared - invalid,Anonymous User on Page - Login,"Input username (vaild), input password (valid), clear password field and click login","Display error: ""Sorry.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-108,User - Anonymous - Page - Login,Create Account - Password - input - min length - invalid,Anonymous User on Page - Login,"Input username(vaild), input password min length (invalid), and click login","Display error: ""Passwords should be between 8 and 72 characters long. Please choose another.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-109,User - Anonymous - Page - Login,Create Account - Password - input - max length - invalid,Anonymous User on Page - Login,"Input username(vaild), input password max length (invalid), and click login","Display error: ""Passwords should be between 8 and 72 characters long. Please choose another.""",UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-110,User - Anonymous - Page - Login,Create Account - Password - input - char validation - invalid,Anonymous User on Page - Login,"Input username(vaild), input password without special char (invalid), and click login",,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-login,@page-login-111,User - Anonymous - Page - Login,Create Account - Button - valid,Anonymous User on Page - Login,"Input username (vaild), input password (valid), and click login button",,UI - Cypress,Medium,60s,Alex Peace
