Type,Tag (user),Tag (area),Tag (sub-area),Section,Title,Preconditions (Given),Steps (When),Expected Result (Then),Automation,Priority,Estimate (Manual),Created By
Functional,@user-basic,@api-items-story,@api-items-story-get,API - Items - Story,GET - Story - by,Seed Testdata Story,GET /v0/item/<item-id>.json,{string} Should be correct userid,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-story,@api-items-story-get,API - Items - Story,GET - Story - descendants,Seed Testdata Story,GET /v0/item/<item-id>.json,{number} Should be correct descendants count,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-story,@api-items-story-get,API - Items - Story,GET - Story - id,Seed Testdata Story,GET /v0/item/<item-id>.json,{number} Should be correct id,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-story,@api-items-story-get,API - Items - Story,GET - Story - kids,Seed Testdata Story,GET /v0/item/<item-id>.json,{Array<number}>} Should be correct kids array ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-story,@api-items-story-get,API - Items - Story,GET - Story - score,Seed Testdata Story,GET /v0/item/<item-id>.json,{number} Should be correct current score ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-story,@api-items-story-get,API - Items - Story,GET - Story - time,Seed Testdata Story,GET /v0/item/<item-id>.json,{number} Should be correct timestamp ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-story,@api-items-story-get,API - Items - Story,GET - Story - title,Seed Testdata Story,GET /v0/item/<item-id>.json,{string} Should be correct title ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-story,@api-items-story-get,API - Items - Story,GET - Story - type,Seed Testdata Story,GET /v0/item/<item-id>.json,"{string} Should be type ""story""",API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-story,@api-items-story-get,API - Items - Story,GET - Story - url,Seed Testdata Story,GET /v0/item/<item-id>.json,{string} Should be correct url ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-comment,@api-items-comment-001,API - Items - Comment,GET - Comment - by,Seed Testdata Comment,GET /v0/item/<item-id>.json,{string} Should be correct userid,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-comment,@api-items-comment-002,API - Items - Comment,GET - Comment - id,Seed Testdata Comment,GET /v0/item/<item-id>.json,{number} Should be correct id,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-comment,@api-items-comment-003,API - Items - Comment,GET - Comment - kids,Seed Testdata Comment,GET /v0/item/<item-id>.json,{Array<number}>} Should be correct kids count ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-comment,@api-items-comment-004,API - Items - Comment,GET - Comment - parent,Seed Testdata Comment,GET /v0/item/<item-id>.json,{number} Should be correct parent id,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-comment,@api-items-comment-005,API - Items - Comment,GET - Comment - text,Seed Testdata Comment,GET /v0/item/<item-id>.json,{string} Should be correct text,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-comment,@api-items-comment-006,API - Items - Comment,GET - Comment - time,Seed Testdata Comment,GET /v0/item/<item-id>.json,{number} Should be correct timestamp ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-comment,@api-items-comment-007,API - Items - Comment,GET - Comment - type,Seed Testdata Comment,GET /v0/item/<item-id>.json,"{string} Should be type ""comment""",API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-job,@api-items-job-001,API - Items - Job,GET - Job - by,Seed Testdata Job,GET /v0/item/<item-id>.json,{string} Should be correct userid,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-job,@api-items-job-002,API - Items - Job,GET - Job - id,Seed Testdata Job,GET /v0/item/<item-id>.json,{number} Should be correct id,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-job,@api-items-job-003,API - Items - Job,GET - Job - score,Seed Testdata Job,GET /v0/item/<item-id>.json,{number} Should be correct current score,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-job,@api-items-job-004,API - Items - Job,GET - Job - text,Seed Testdata Job,GET /v0/item/<item-id>.json,{string} Should be correct text,API - Cypress,Medium,60s,Alex Peace
